,hashtag,frequency
2686,cowin,59446
11155,vaccine,20507
2332,covid19,16783
5346,indiafightscorona,9366
2722,cowinblore1844,8233
1037,bbmp,7760
2652,covishield,6989
11052,vaccination,5150
2329,covid,4688
2309,covaxin,4650
2833,cowinregistration,3629
8672,pune,3496
2707,cowinapp,3408
5310,india,3097
11301,vaccinepune,3078
3225,delhi,2970
2496,covidindia,2825
2591,covidvaccine,1650
6307,largestvaccinedrive,1635
11308,vaccineregistration,1496
2825,cowinportal,1360
2575,covidvaccination,1348
2396,covid19vaccination,1145
11090,vaccinationdrive,1080
2356,covid19india,1069
11239,vaccinefor18plus,1020
246,aarogyasetu,995
2407,covid19vaccine,988
2224,coronavirus,988
2213,coronavaccine,955
7248,mumbai,812
11044,vaccinatemumbai,687
11026,vaccinated,686
964,bangaloreurban,536
738,arogyasetu,533
11240,vaccineforall,530
10878,unite2fightcorona,520
841,aurangabad,516
6304,largestvaccinationdrive,506
2428,covid_19,459
2661,covishieldvaccine,454
2145,corona,441
4462,getvaccinated,420
803,assam,365
7401,narendramodi,354
2768,cowinglobalconclave,349
9834,sputnikv,346
11347,vaccineslots,325
1120,bengaluru,319
2248,coronavirusvaccine,305
2750,cowindown,304
2234,coronavirusindia,302
6170,kolkata,293
2357,covid19indiahelp,268
8386,pmmodi,254
11338,vaccineshortage,253
413,ahmedabad,251
5351,indiafightscovid19,248
1812,chennai,235
3383,digitalindia,226
11319,vaccines,225
8402,pmoindia,220
11104,vaccinationforall,200
7303,mybmcvaccinationupdate,197
2545,covidsecondwave,195
7037,modi,187
209,aadhaar,186
8970,registration,186
9929,staysafe,182
960,bangalore,180
739,arogyasetuapp,180
8005,otp,179
11038,vaccinateindia,175
6602,maharashtra,175
2204,coronavaccination,169
2539,covidresources,165
2470,covidemergency2021,159
1304,bjp,158
2909,crashed,156
8100,pandemic,148
2240,coronaviruspandemic,148
9,100crorevaccination,147
11354,vaccineswork,145
2469,covidemergency,139
10835,umangapp,135
2486,covidhelp,133
2191,coronasecondwave,129
3658,earthquake,129
11194,vaccinecentury,128
5661,irctc,127
10816,uk,123
5140,hyderabad,112
10308,telangana,111
4883,health,110
2550,covidshield,108
4801,happybdaymodiji,107
11024,vaccinate,106
11197,vaccinecertificate,104
8971,registration_for_18,104
247,aarogyasetuapp,104
10173,tamil,103
11081,vaccinationcovid,101
7068,modihaitohmumkinhai,99
2547,covidsecondwaveinindia,98
7852,odisha,98
1493,breaking,98
7896,omicron,97
2638,covidー19,95
6076,kerala,93
4808,happybirthdaymodiji,92
11146,vaccinationupdate,91
9918,stayhome,91
8056,oxygenshortage,90
2244,coronavirusupdates,90
4889,healthcare,90
11320,vaccines4all,88
7557,news,87
10834,umang,85
11630,we4vaccine,85
9921,stayhomestaysafe,84
8042,oxygen,82
10271,technology,82
672,app,79
2315,covaxine,79
2619,covidvaccines,79
4922,healthministry,78
2610,covidvaccineindia,78
10088,supremecourt,78
2737,cowincrash,77
2553,covidsos,77
11135,vaccinations,77
3410,digitaltransformation,76
2147,corona2ndwave,74
6472,lockdown,74
11669,wednesdaythought,72
10182,tamilnadu,71
2180,coronapandemic,70
1495,breakingnews,69
4976,help,69
